filename,rate_hz,shape,timestamp
present_00000.npy,237.53,"(50, 64)",1788670443.5156672
present_00001.npy,222.19,"(50, 64)",1788670443.726605
present_00002.npy,231.31,"(50, 64)",1788670443.9677873
present_00003.npy,216.84,"(50, 64)",1788670444.2001774
present_00004.npy,219.80,"(50, 64)",1788670444.4313486
present_00005.npy,223.17,"(50, 64)",1788670444.664881
present_00006.npy,220.97,"(50, 64)",1788670444.8935792
present_00007.npy,208.64,"(50, 64)",1788670445.1355586
present_00008.npy,217.69,"(50, 64)",1788670445.3693402
present_00009.npy,217.85,"(50, 64)",1788670445.6000655
present_00010.npy,209.76,"(50, 64)",1788670445.8284142
present_00011.npy,223.91,"(50, 64)",1788670449.0010688
present_00012.npy,211.83,"(50, 64)",1788670449.2339385
present_00013.npy,224.00,"(50, 64)",1788670449.4666667
present_00014.npy,214.04,"(50, 64)",1788670449.7009733
present_00015.npy,230.32,"(50, 64)",1788670449.933294
present_00016.npy,219.06,"(50, 64)",1788670450.1598916
present_00017.npy,261.09,"(50, 64)",1788670450.4120567
present_00018.npy,222.12,"(50, 64)",1788670450.6446052
present_00019.npy,233.98,"(50, 64)",1788670450.8790019
present_00020.npy,202.38,"(50, 64)",1788670451.112652
present_00021.npy,204.59,"(50, 64)",1788670451.346214
present_00022.npy,187.82,"(50, 64)",1788670451.5946655
present_00023.npy,198.68,"(50, 64)",1788670451.849649
present_00024.npy,222.84,"(50, 64)",1788670452.2198114
present_00025.npy,216.82,"(50, 64)",1788670452.4682107
present_00026.npy,206.43,"(50, 64)",1788670452.713956
present_00027.npy,174.69,"(50, 64)",1788670452.9812672
present_00028.npy,194.22,"(50, 64)",1788670453.2465072
present_00029.npy,203.24,"(50, 64)",1788670453.4944966
present_00030.npy,194.75,"(50, 64)",1788670453.750306
present_00031.npy,186.77,"(50, 64)",1788670454.032221
present_00032.npy,193.60,"(50, 64)",1788670454.306153
present_00033.npy,196.49,"(50, 64)",1788670454.5747514
present_00034.npy,217.84,"(50, 64)",1788670454.8238792
present_00035.npy,203.01,"(50, 64)",1788670455.0705428
present_00036.npy,207.60,"(50, 64)",1788670455.3242476
present_00037.npy,224.14,"(50, 64)",1788670456.4467003
present_00038.npy,214.64,"(50, 64)",1788670456.6783621
present_00039.npy,226.20,"(50, 64)",1788670456.91297
present_00040.npy,239.71,"(50, 64)",1788670457.142499
present_00041.npy,216.21,"(50, 64)",1788670457.413428
present_00042.npy,215.37,"(50, 64)",1788670457.6453128
present_00043.npy,216.00,"(50, 64)",1788670457.8752809
present_00044.npy,208.11,"(50, 64)",1788670458.1128793
present_00045.npy,211.45,"(50, 64)",1788670458.3431256
present_00046.npy,210.81,"(50, 64)",1788670458.5774693
present_00047.npy,208.21,"(50, 64)",1788670458.8113828
present_00048.npy,210.97,"(50, 64)",1788670459.0390594
present_00049.npy,212.12,"(50, 64)",1788670459.2735782
present_00050.npy,212.23,"(50, 64)",1788670459.5099983
present_00051.npy,211.62,"(50, 64)",1788670459.7373402
present_00052.npy,212.00,"(50, 64)",1788670459.970541
present_00053.npy,213.09,"(50, 64)",1788670460.202654
present_00054.npy,212.76,"(50, 64)",1788670460.4377227
present_00055.npy,204.69,"(50, 64)",1788670460.6883452
present_00056.npy,187.93,"(50, 64)",1788670460.940732
present_00057.npy,198.32,"(50, 64)",1788670461.1880596
present_00058.npy,197.62,"(50, 64)",1788670461.4361384
present_00059.npy,201.13,"(50, 64)",1788670461.6930187
present_00060.npy,200.35,"(50, 64)",1788670462.835546
