filename,rate_hz,mean,std,nonzero,elapsed_sec
present_00000.npy,120.4900,36.949207,19.619038,2600,0.421
present_00001.npy,121.5298,34.319057,18.890526,2600,0.378
present_00002.npy,124.3865,20.327011,12.417572,2598,0.410
present_00003.npy,171.8039,20.773804,16.379702,2594,0.289
present_00004.npy,182.2326,28.940245,22.873943,2598,0.255
present_00005.npy,174.7699,25.909204,18.822775,2599,0.281
present_00006.npy,179.5157,19.130547,14.975595,2593,0.278
present_00007.npy,179.5762,19.896502,15.732377,2597,3.127
present_00008.npy,182.6740,19.425449,15.760653,2590,0.277
present_00009.npy,173.4718,19.509048,16.072090,2588,0.280
present_00010.npy,177.4589,19.160278,16.078604,2579,0.277
present_00011.npy,178.9406,18.953928,15.471128,2595,0.278
present_00012.npy,187.6811,19.437956,15.832600,2591,0.309
present_00013.npy,183.3128,18.650063,14.955092,2589,0.266
present_00014.npy,186.1843,16.296732,12.277634,2595,0.271
present_00015.npy,176.5345,16.060982,11.746735,2600,0.396
present_00016.npy,193.5733,14.040685,10.957737,2584,0.267
present_00017.npy,178.7754,13.653840,10.192421,2596,0.274
present_00018.npy,190.4222,15.270206,11.779916,2595,0.274
present_00019.npy,184.9603,15.191041,11.770425,2594,0.270
present_00020.npy,175.3720,16.124941,12.405795,2589,0.275
present_00021.npy,179.7165,14.842199,11.788184,2592,0.268
present_00022.npy,185.5815,15.309375,11.964333,2593,0.271
present_00023.npy,189.6937,15.285209,12.444045,2584,0.264
present_00024.npy,178.0709,16.859764,13.717026,2595,0.269
present_00025.npy,176.8641,18.596664,15.400345,2587,0.274
present_00026.npy,182.7603,16.444033,13.475014,2592,0.282
present_00027.npy,178.4335,20.248650,16.044928,2596,0.280
present_00028.npy,182.1137,17.800694,12.797131,2598,0.277
present_00029.npy,173.8952,17.096451,13.899554,2592,0.276
present_00030.npy,185.3730,14.979409,11.208622,2596,0.264
present_00031.npy,172.7154,18.323458,13.009612,2600,0.282
present_00032.npy,170.2494,18.847385,13.983846,2600,0.286
present_00033.npy,171.5392,18.662392,13.583509,2600,0.280
present_00034.npy,178.7812,18.058996,13.763577,2599,0.285
present_00035.npy,179.9842,18.935936,14.381099,2597,0.279
present_00036.npy,171.7120,20.210207,14.387074,2600,0.286
present_00037.npy,175.5894,19.770140,15.023036,2597,0.286
present_00038.npy,180.3586,16.955090,14.178522,2581,0.282
present_00039.npy,184.9814,16.814215,13.508715,2592,0.279
present_00040.npy,178.8014,12.458646,9.396707,2595,0.275
present_00041.npy,178.3108,16.552641,13.192104,2589,0.274
present_00042.npy,180.1122,15.701330,12.053555,2597,0.276
present_00043.npy,181.0919,16.217882,12.418635,2592,0.277
present_00044.npy,183.7987,16.815090,13.328527,2578,0.272
present_00045.npy,184.9708,17.117462,13.159180,2597,0.273
present_00046.npy,186.0308,15.335629,11.642998,2597,0.274
present_00047.npy,190.5531,15.770487,11.369458,2599,0.271
present_00048.npy,183.2927,15.738141,12.264647,2589,0.279
present_00049.npy,197.1717,15.430153,11.270471,2598,0.267
present_00050.npy,178.5346,17.426392,12.356676,2595,0.277
present_00051.npy,176.6326,16.630434,11.517824,2600,0.280
present_00052.npy,186.6394,17.487123,13.969068,2592,0.275
present_00053.npy,180.1003,17.306009,13.937769,2585,0.295
present_00054.npy,176.4903,16.368324,12.807085,2591,0.271
present_00055.npy,172.5654,17.817257,14.314864,2597,0.277
present_00056.npy,176.4140,19.915859,16.013094,2592,0.292
present_00057.npy,168.7974,20.615149,15.946788,2599,0.299
present_00058.npy,182.6212,20.422306,15.711808,2600,0.277
present_00059.npy,174.2714,19.559412,15.922704,2580,0.284
present_00060.npy,178.5155,17.826357,14.576322,2586,0.289
present_00061.npy,171.8416,17.170954,12.775742,2598,0.290
present_00062.npy,166.3913,18.847672,15.617357,2584,0.282
present_00063.npy,174.7472,23.164745,18.463783,2589,0.289
present_00064.npy,184.7620,16.750317,13.998137,2587,0.283
present_00065.npy,176.4531,15.701952,12.670472,2591,0.291
present_00066.npy,197.2819,16.817341,13.011529,2588,0.241
present_00067.npy,162.7639,18.555845,14.526000,2592,0.289
present_00068.npy,177.9002,18.211123,14.170647,2594,0.283
present_00069.npy,172.7842,15.936986,12.661272,2593,0.286
present_00070.npy,181.0580,19.737661,16.024876,2588,0.281
present_00071.npy,175.1683,22.197153,17.613050,2592,0.280
present_00072.npy,172.8800,16.756939,13.957235,2586,0.280
present_00073.npy,176.8840,18.371346,15.308442,2588,0.283
present_00074.npy,177.7529,18.690245,14.599639,2595,0.285
present_00075.npy,184.1601,17.497828,12.740087,2600,0.275
present_00076.npy,182.2582,19.646362,15.606452,2588,0.271
present_00077.npy,187.6905,19.107616,15.969101,2579,0.268
