filename,rate_hz,mean,std,nonzero,elapsed_sec
empty_00000.npy,189.3359,13.058111,8.299818,2600,0.310
empty_00001.npy,187.0287,12.523978,7.828473,2600,0.247
empty_00002.npy,203.0201,12.442366,7.761686,2600,0.266
empty_00003.npy,189.0273,12.115652,7.598360,2600,0.263
empty_00004.npy,174.0803,12.362737,7.751667,2600,0.271
empty_00005.npy,184.6988,12.281642,7.745121,2600,0.262
empty_00006.npy,191.1156,12.378152,7.702544,2600,0.262
empty_00007.npy,182.3373,12.344729,7.655381,2600,0.270
empty_00008.npy,204.8993,12.089117,7.513100,2600,3.201
empty_00009.npy,190.5417,11.884027,7.337440,2600,0.279
empty_00010.npy,204.3378,10.415962,7.161699,2600,0.254
empty_00011.npy,177.2162,11.528711,7.019956,2600,0.271
empty_00012.npy,173.2228,11.504934,7.039038,2600,0.276
empty_00013.npy,186.8366,11.510925,7.048593,2600,0.274
empty_00014.npy,185.6288,11.517933,7.057621,2600,0.269
empty_00015.npy,186.8253,11.438696,7.007472,2600,0.263
empty_00016.npy,191.7658,11.428326,7.041460,2600,0.263
empty_00017.npy,191.4851,11.469644,7.035788,2600,0.262
empty_00018.npy,181.5307,11.413379,7.002753,2600,0.283
empty_00019.npy,201.3567,10.719560,6.956884,2600,1.149
empty_00020.npy,179.6095,11.365474,6.954589,2600,0.275
empty_00021.npy,183.5067,11.207781,6.849887,2600,0.265
empty_00022.npy,182.9993,11.538569,7.246217,2600,0.264
empty_00023.npy,196.2647,10.785201,6.727816,2600,0.254
empty_00024.npy,201.4558,11.435694,7.589358,2600,0.258
empty_00025.npy,175.2372,13.748702,8.278685,2600,0.281
empty_00026.npy,210.0252,13.478069,8.374075,2600,0.235
empty_00027.npy,181.9968,11.203752,6.613317,2600,0.271
empty_00028.npy,199.3650,10.619158,6.785489,2600,0.259
empty_00029.npy,178.5701,11.673328,7.202406,2600,0.280
empty_00030.npy,183.5858,11.726968,7.087783,2600,0.265
empty_00031.npy,202.2149,11.208430,7.357765,2600,0.257
empty_00032.npy,191.2076,10.778125,6.195196,2600,0.258
